"ID"	"AIOne"	"AITwo"	"StartPlayerIndex"	"AIOneWin"
"351"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"352"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"353"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"354"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"355"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"356"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"357"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"358"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"359"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"360"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"361"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"362"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"363"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"364"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"365"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"366"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"367"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"368"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"369"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"370"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"371"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"372"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"373"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"374"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"375"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"376"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"377"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"378"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"379"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"380"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"381"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"382"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"383"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"384"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"385"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"386"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"387"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"388"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"389"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"390"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"391"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"392"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"393"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"394"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"395"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"396"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"397"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"398"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"399"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"400"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"401"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"402"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"403"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"404"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"405"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"406"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"407"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"408"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"409"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"410"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"411"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"412"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"413"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"414"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"415"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"416"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"417"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"418"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"419"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"420"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"421"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"422"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"423"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"424"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"425"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
